1.5	1037	1
2.5	596	1
3.5	270	1
4.5	128	1
5.5	69.5	1
6.5	59.5	1
7.5	43	1
8.5	22.5	1
9.5	22	1
10.5	18	1
11.5	13	1
12.5	4	1
13.5	6	1
14.5	3.5	1
15.5	2	1
16.5	2.5	1
17.5	2	1
18.5	0.5	1
19.5	5	1
20.5	0.5	1
21.5	1	1
22.5	2.5	1
23.5	1	1
24.5	1	1
25.5	2.5	1
26.5	1.5	1
27.5	1.5	1
28.5	0.5	1
29.5	1	1
31.5	1	1
1.5	36	2
2.5	44	2
3.5	33	2
4.5	20	2
5.5	14	2
6.5	13	2
7.5	13	2
8.5	17.5	2
9.5	10.5	2
10.5	16.5	2
11.5	9	2
12.5	16	2
13.5	9	2
14.5	9	2
15.5	10.5	2
16.5	8	2
17.5	5.5	2
18.5	10	2
19.5	8.5	2
20.5	7.5	2
21.5	7	2
22.5	9	2
23.5	7	2
24.5	9.5	2
25.5	7.5	2
26.5	5	2
27.5	5	2
28.5	2.5	2
29.5	4.5	2
30.5	3	2
31.5	2.5	2
32.5	3	2
33.5	2	2
34.5	3.5	2
35.5	2	2
36.5	1	2
37.5	3	2
38.5	1	2
39.5	1	2
40.5	0.5	2
41.5	0.5	2
43.5	1	2
45.5	0.5	2
46.5	1	2
49.5	1	2
57	1	2
1.5	50	3
2.5	44	3
3.5	29	3
4.5	21	3
5.5	16.5	3
6.5	22	3
7.5	15	3
8.5	14.5	3
9.5	18.5	3
10.5	13.5	3
11.5	5.5	3
12.5	6.5	3
13.5	4.5	3
14.5	8.5	3
15.5	5	3
16.5	6.5	3
17.5	3	3
18.5	7	3
19.5	1.5	3
20.5	6	3
21.5	3.5	3
22.5	4.5	3
23.5	3	3
24.5	3	3
25.5	1.5	3
26.5	2.5	3
27.5	2	3
28.5	0.5	3
29.5	1.5	3
30.5	1	3
31.5	1	3
32.5	0.5	3
33.5	2	3
34.5	0.5	3
35.5	0.5	3
37.5	2	3
39.5	0.5	3
40.5	1	3
41.5	1.5	3
42.5	1.5	3
43.5	2.5	3
44.5	0.5	3
45.5	1	3
46.5	1	3
48.5	1	3
51	1.5	3
53	0.5	3
61	0.5	3
63	0.5	3
71	0.5	3
77	0.5	3
112.5	0.5	3
1.5	224	4
2.5	96	4
3.5	54	4
4.5	50	4
5.5	23	4
6.5	17.5	4
7.5	8	4
8.5	3	4
9.5	2.5	4
10.5	3	4
11.5	1.5	4
12.5	0.5	4
13.5	2	4
14.5	0.5	4
17.5	0.5	4
1.5	62	5
2.5	23	5
3.5	32	5
4.5	28	5
5.5	15	5
6.5	21	5
7.5	12.5	5
8.5	7	5
9.5	6	5
10.5	4.5	5
11.5	2	5
12.5	2.5	5
13.5	2.5	5
14.5	1.5	5
15.5	1	5
16.5	3	5
17.5	1	5
18.5	1.5	5
19.5	1	5
20.5	1	5
21.5	0.5	5
22.5	0.5	5
23.5	0.5	5
24.5	0.5	5
25.5	1	5
28.5	0.5	5
30.5	0.5	5
34.5	0.5	5
35.5	0.5	5
36.5	0.5	5
37.5	0.5	5
63	0.5	5
